O1_11_t_D3A	O	0.153	0.806	1.097	0.000	0.000	0.000	0.40	1.00
O1_12_t_D3A	O	0.347	0.306	1.097	0.000	0.000	0.000	0.40	1.00
O1_1_0_D3A	O	0.653	0.973	0.903	0.000	0.000	0.000	0.40	1.00
O1_2_0_D3A	O	0.847	0.473	0.903	0.000	0.000	0.000	0.40	1.00
Fe1_2_0_D3A	Fe	0.000	0.830	0.855	0.000	0.000	0.000	0.32	1.00
Fe1_3_0_D3A	Fe	0.500	0.330	0.855	0.000	0.000	0.000	0.32	1.00
O1_3_0_D3A	O	0.306	0.605	0.750	0.000	0.000	0.000	0.40	1.00
O1_4_0_D3A	O	0.194	0.104	0.750	0.000	0.000	0.000	0.40	1.00
Fe1_4_0_D3A	Fe	0.500	0.880	0.645	0.000	0.000	0.000	0.32	1.00
Fe1_6_0_D3A	Fe	0.000	0.379	0.645	0.000	0.000	0.000	0.32	1.00
O1_5_0_D3A	O	0.847	0.737	0.597	0.000	0.000	0.000	0.40	1.00
O1_6_0_D3A	O	0.653	0.236	0.597	0.000	0.000	0.000	0.40	1.00
O1_7_0_D3A	O	0.347	0.904	0.403	0.000	0.000	0.000	0.40	1.00
O1_8_0_D3A	O	0.153	0.403	0.403	0.000	0.000	0.000	0.40	1.00
Fe1_8_0_D3A	Fe	0.000	0.761	0.355	0.000	0.000	0.000	0.32	1.00
Fe1_9_0_D3A	Fe	0.500	0.260	0.355	0.000	0.000	0.000	0.32	1.00
O1_9_0_D3A	O	0.694	0.535	0.250	0.000	0.000	0.000	0.40	1.00
O1_10_0_D3A	O	0.806	0.035	0.250	0.000	0.000	0.000	0.40	1.00
Fe1_10_0_D3A	Fe	0.500	0.810	0.145	0.000	0.000	0.000	0.32	1.00
Fe1_12_0_D3A	Fe	0.000	0.310	0.145	0.000	0.000	0.000	0.32	1.00
O1_11_0_D3A	O	0.153	0.667	0.097	0.000	0.000	0.000	0.40	1.00
O1_12_0_D3A	O	0.347	0.167	0.097	0.000	0.000	0.000	0.40	1.00
Pb1_D3A	Pb	-0.079	0.447	1.243	0.000	0.000	0.000	0.50	1.00
Pb2_D3A	Pb	0.579	0.947	1.243	0.000	0.000	0.000	0.50	1.00
Os1_D3A	O	0.250	0.306	1.233	0.000	0.000	0.000	4.00	1.00
Os2_D3A	O	0.250	0.806	1.233	0.000	0.000	0.000	4.00	1.00
Os3_D3A	O	0.250	0.306	1.233	0.000	0.000	0.000	4.00	1.00
Os4_D3A	O	0.250	0.806	1.233	0.000	0.000	0.000	4.00	1.00
