Element	X(fra)	Y(fra)	Z(fra)	dx(errors)(Angstrom)	dy(errors)(Angstrom)	dz(errors)(Angstrom)	u	occ
O	0.847	0.737	0.597	0.000	0.000	0.000	0.40	1.00
O	0.653	0.236	0.597	0.000	0.000	0.000	0.40	1.00
O	0.347	0.904	0.403	0.000	0.000	0.000	0.40	1.00
O	0.153	0.403	0.403	0.000	0.000	0.000	0.40	1.00
Fe	0.000	0.761	0.355	0.000	0.000	0.000	0.32	1.00
Fe	0.500	0.260	0.355	0.000	0.000	0.000	0.32	1.00
O	0.694	0.535	0.250	0.000	0.000	0.000	0.40	1.00
O	0.806	0.035	0.250	0.000	0.000	0.000	0.40	1.00
Fe	0.500	0.810	0.145	0.000	0.000	0.000	0.32	1.00
Fe	0.000	0.310	0.145	0.000	0.000	0.000	0.32	1.00
O	0.153	0.667	0.097	0.000	0.000	0.000	0.40	1.00
O	0.347	0.167	0.097	0.000	0.000	0.000	0.40	1.00
Pb	1.079()	0.377()	0.743()	-	-	-	0.50	1.00
Pb	0.422()	0.877()	0.743()	-	-	-	0.50	1.00
O	0.750	0.237	0.733	-	-	-	4.00	1.00
O	0.750	0.737	0.733	-	-	-	4.00	1.00
O	0.750	0.237	0.733	-	-	-	4.00	1.00
O	0.750	0.737	0.733	-	-	-	4.00	1.00
